u,v,key,osmid,oneway,name,highway,reversed,length,ebc,vulnerability,lanes,geometry,maxspeed,bridge,ref,junction
1446748353,3178886355,0,132120724,True,Estrada Municipal Glaudistom P de Oliveira,secondary,False,28.939999999999998,0.034250323302498095,0.9999544056595979,,"LINESTRING (-45.8540412 -23.218797, -45.8539567 -23.2187587, -45.8538765 -23.2187224, -45.8537872 -23.2186819)",,,,
1446748353,1446670988,0,312071903,True,Avenida dos Astronautas,secondary,False,62.684,0.036809094427549593,,,"LINESTRING (-45.8540412 -23.218797, -45.8540229 -23.2187171, -45.8540063 -23.2185718, -45.8540107 -23.218366, -45.8540161 -23.2183007, -45.8540288 -23.2182371)",60,,,
1446748354,1446748353,0,131460628,True,,secondary_link,False,47.318,0.05218156722877502,,,"LINESTRING (-45.8543345 -23.2185508, -45.8542678 -23.2187313, -45.8542306 -23.218768, -45.8542011 -23.2187908, -45.8541568 -23.2188013, -45.8541069 -23.2188053, -45.8540774 -23.2188047, -45.8540412 -23.218797)",60,,,
1446748354,3178886345,0,312071893,True,Avenida Brigadeiro Faria Lima,tertiary,False,230.83599999999998,0.03239961560438419,0.9960842515817777,,"LINESTRING (-45.8543345 -23.2185508, -45.8543412 -23.2187417, -45.8543199 -23.2189354, -45.8543278 -23.2190869, -45.854373 -23.219231, -45.8544372 -23.2193522, -45.8551065 -23.2204448)",60,,,
1446748371,1446748354,0,472739642,True,Avenida dos Astronautas,secondary,False,32.785,0.084586377368508,,,"LINESTRING (-45.8543399 -23.2182562, -45.8543426 -23.2184275, -45.8543345 -23.2185508)",60,,,
1446748375,1446674039,0,312071891,True,,tertiary_link,False,39.298,0.00544127577788167,,,"LINESTRING (-45.8558256 -23.2223495, -45.8558619 -23.2222359, -45.8558868 -23.2221294, -45.8558943 -23.2220035)",,,,
1446748375,3178886311,0,877791480,True,,residential,False,18.209,5.9737156511350064e-05,0.9998580352969181,,"LINESTRING (-45.8558256 -23.2223495, -45.8558707 -23.2223141, -45.8559236 -23.2222891, -45.8559812 -23.2222758)",,,,circular
1446748386,1446674020,0,312071889,True,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,460.52500000000003,0.006326944054854294,,2,"LINESTRING (-45.8562105 -23.2223571, -45.8567545 -23.2225915, -45.8569069 -23.2226352, -45.8601819 -23.2236463, -45.8604088 -23.2237109, -45.8604587 -23.2237295)",60,,,
1446748386,1446674017,0,448352067,True,,unclassified,False,45.724,0.0015739442106903541,,,"LINESTRING (-45.8562105 -23.2223571, -45.8562501 -23.2224152, -45.85627 -23.2224812, -45.8562685 -23.2225498, -45.8562457 -23.222615, -45.8562034 -23.2226715, -45.8561454 -23.2227145)",,,,circular
1453950122,1454899416,0,885743517,False,Rua Teodomiro Costa,residential,False,48.334,0.00017979894674611835,0.9997270537455832,,"LINESTRING (-45.8642372 -23.1948681, -45.8642615 -23.1953022)",,,,
1453950122,1453960044,0,132112940,False,Rua José Martins Xavier,residential,False,143.519,0.002888829522770629,0.9987691368193827,,"LINESTRING (-45.8642372 -23.1948681, -45.8638344 -23.1959486, -45.863782 -23.1960891)",,,,
1453950122,1453950288,0,"[132214761, 448342029]",False,"['Rua Marginal B', 'Rua Teodomiro Costa']",residential,True,357.74800000000005,0.002602851799906499,0.9987241091580812,,"LINESTRING (-45.8642372 -23.1948681, -45.8643063 -23.194418, -45.8643224 -23.1943135, -45.8643377 -23.1942138, -45.8647648 -23.1923585, -45.8654099 -23.1926486)",,,,
1453950123,1454899412,0,132110340,False,Praça Benedito Ugolino da Silva Guerra,residential,True,45.647,0.00110259578352145,0.9999220011105268,,"LINESTRING (-45.864265 -23.1958164, -45.8644229 -23.1954324)",,,,
1453950123,1453957511,0,132112831,False,Praça Benedito Ugolino Silva Guerra,residential,True,69.515,0.0013102473340902516,0.9999430070744972,,"LINESTRING (-45.864265 -23.1958164, -45.8649342 -23.1959281)",,,,
1453950123,1453950300,0,885743516,False,Rua Teodomiro Costa,residential,False,174.952,0.0032555266145729007,0.9997162566494644,,"LINESTRING (-45.864265 -23.1958164, -45.8639127 -23.1973561)",,,,
1453950123,1454899416,0,448342045,True,Rua Teodomiro Costa,residential,False,57.18,0.0039059566478921322,0.9998144476341685,,"LINESTRING (-45.864265 -23.1958164, -45.864261 -23.1955947, -45.8642615 -23.1953022)",,,,
1453950288,1453950289,0,132110338,False,Rua Raul Franco Martins,residential,False,198.368,0.011640463121684874,0.9994338332999189,,"LINESTRING (-45.8654099 -23.1926486, -45.8649731 -23.1943868)",,,,
