u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ebc,junction,bridge
1453969565,1453969560,0,132113608,False,Rua Aviao Regente,residential,,False,75.722,"LINESTRING (-45.8611533 -23.2008329, -45.8606107 -23.2012966)",0.002564194719054981,,
1453969565,1453969532,0,132113608,False,Rua Aviao Regente,residential,,True,88.335,"LINESTRING (-45.8611533 -23.2008329, -45.8617754 -23.2002814)",0.0013216233996810045,,
1453969565,1453969534,0,132113611,False,Praça Quatorze Bis,residential,,False,114.269,"LINESTRING (-45.8611533 -23.2008329, -45.8607385 -23.1998786)",0.000883390725835634,,
1453969576,1453969491,0,132113621,False,Rua Avião Aribu,residential,,False,85.165,"LINESTRING (-45.8619612 -23.2020581, -45.8613897 -23.2015007)",0.04023311596052746,,
1453969576,3160449699,0,448342028,True,Avenida dos Astronautas,secondary,60,False,81.345,"LINESTRING (-45.8619612 -23.2020581, -45.86207 -23.2019417, -45.8625016 -23.2015212)",0.02870382648346275,,
1453969591,2024367581,0,448342026,False,Rua Avião Universal,residential,,True,45.009,"LINESTRING (-45.8593589 -23.2012756, -45.8597549 -23.2010985)",0.007313294388463637,,
1453969591,1453977234,0,132114021,False,Jardim da Granja,residential,,False,162.844,"LINESTRING (-45.8593589 -23.2012756, -45.8590031 -23.2006038, -45.8587521 -23.1999246)",0.002122947128507228,,
1453969591,1453969592,0,448342026,False,Rua Avião Universal,residential,,False,78.785,"LINESTRING (-45.8593589 -23.2012756, -45.859066 -23.2014859, -45.8587385 -23.2016957)",0.00806175669363354,,
1453969592,8163558861,0,448346525,False,Rua Orlando Saes,residential,,False,13.447,"LINESTRING (-45.8587385 -23.2016957, -45.8586582 -23.2015999)",0.010870231998528743,,
1453969592,1453977301,0,132214751,False,Rua Orlando Saes,residential,,True,251.71699999999998,"LINESTRING (-45.8587385 -23.2016957, -45.8591013 -23.2021353, -45.8593685 -23.2024817, -45.8597717 -23.2033184, -45.8598167 -23.2034297, -45.8598116 -23.2034751, -45.8597822 -23.2035123, -45.8596371 -23.2036041)",0.009609694479264205,,
1453969592,1453969591,0,448342026,False,Rua Avião Universal,residential,,True,78.785,"LINESTRING (-45.8587385 -23.2016957, -45.859066 -23.2014859, -45.8593589 -23.2012756)",0.007060838225679561,,
1453977234,1453969591,0,132114021,False,Jardim da Granja,residential,,True,162.844,"LINESTRING (-45.8587521 -23.1999246, -45.8590031 -23.2006038, -45.8593589 -23.2012756)",0.002109161757542895,,
1453977242,1453977301,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,False,61.217,"LINESTRING (-45.859968 -23.204063, -45.8596371 -23.2036041)",0.023955548438844253,,
1453977242,1453977246,0,132114025,False,Rua Hidra,residential,,False,59.193999999999996,"LINESTRING (-45.859968 -23.204063, -45.8599866 -23.2040972, -45.8599886 -23.2041096, -45.8599806 -23.2041225, -45.8595671 -23.2043934)",0.07518480880609663,,
1453977242,1453969499,0,"[132114025, 670342747]",False,"['Rua Avião Paulistinha', 'Rua Hidra']",residential,,True,171.05,"LINESTRING (-45.859968 -23.204063, -45.8600597 -23.2040029, -45.8601241 -23.2039962, -45.8602287 -23.204006, -45.8603715 -23.2040338, -45.8604104 -23.2040221, -45.8604379 -23.2039808, -45.8606957 -23.2029493)",0.033245317258744085,,
1453977246,1453977252,0,132114025,False,Rua Hidra,residential,,False,206.178,"LINESTRING (-45.8595671 -23.2043934, -45.8586613 -23.2060502)",0.06114204256261468,,
1453977246,1453987117,0,310701931,False,Rua Orion,residential,,False,74.563,"LINESTRING (-45.8595671 -23.2043934, -45.8591431 -23.2038477)",0.01256338409386908,,
1453977246,1453987139,0,310701931,False,Rua Orion,residential,,True,71.829,"LINESTRING (-45.8595671 -23.2043934, -45.8599962 -23.204905)",0.024749948675221883,,
1453977246,1453977242,0,132114025,False,Rua Hidra,residential,,True,59.194,"LINESTRING (-45.8595671 -23.2043934, -45.8599806 -23.2041225, -45.8599886 -23.2041096, -45.8599866 -23.2040972, -45.859968 -23.204063)",0.051643810414861435,,
1453977252,1453977246,0,132114025,False,Rua Hidra,residential,,True,206.178,"LINESTRING (-45.8586613 -23.2060502, -45.8595671 -23.2043934)",0.026595467783154282,,
1453977252,2024367597,0,132115207,False,Rua Capricórnio,residential,,False,65.188,"LINESTRING (-45.8586613 -23.2060502, -45.8580931 -23.2057838)",0.0668267500396644,,
1453977252,1453987131,0,132115207,False,Rua Capricórnio,residential,,True,67.052,"LINESTRING (-45.8586613 -23.2060502, -45.8592457 -23.2063243)",0.003161673184619833,,
1453977291,1453977303,0,132114040,False,Rua Fênix,residential,,True,55.659,"LINESTRING (-45.8583367 -23.202825, -45.8587901 -23.2025477)",0.0037586831884344977,,
1453977291,1453987112,0,310701931,False,Rua Orion,residential,,True,70.179,"LINESTRING (-45.8583367 -23.202825, -45.8587304 -23.2033421)",0.015431593362161346,,
1453977291,1453979232,0,819285517,False,Rua Fênix,residential,,False,53.743,"LINESTRING (-45.8583367 -23.202825, -45.8580947 -23.2032541)",0.005411080024454866,,
