osmid,y,x,highway,street_count,dc,cc,nbc,com,geometry
2024367591,-23.2042631,-45.8575499,,4,0.015533980582524271,0.05338292987588598,0.019862369112237127,35.63409866393724,POINT (-45.8575499 -23.2042631)
2024367592,-23.2045128,-45.8580922,,4,0.015533980582524271,0.05584657649093128,0.032096002359684836,34.359625275351654,POINT (-45.8580922 -23.2045128)
2024367597,-23.2057838,-45.8580931,,4,0.015533980582524271,0.06089000455880449,0.1082268261648042,31.99948373293745,POINT (-45.8580931 -23.2057838)
2061113646,-23.2015928,-45.8555553,,4,0.015533980582524271,0.0455881197591409,0.01013442349608388,29.837528142287397,POINT (-45.8555553 -23.2015928)
2061113647,-23.2019377,-45.855893,,4,0.015533980582524271,0.047271216479690945,0.010375940423472884,32.38521199966599,POINT (-45.855893 -23.2019377)
2061113648,-23.2055854,-45.8548991,,4,0.015533980582524271,0.05877939577569732,0.06101574214995738,38.64445568662483,POINT (-45.8548991 -23.2055854)
2061113649,-23.2061036,-45.8546189,,4,0.015533980582524271,0.05561990653369516,0.012781116097806498,33.782404152672,POINT (-45.8546189 -23.2061036)
2061113650,-23.2061022,-45.8560564,,4,0.015533980582524271,0.06182551737119437,0.08659665326508323,39.040291789757305,POINT (-45.8560564 -23.2061022)
2061113651,-23.2066469,-45.8557642,,4,0.015533980582524271,0.05833978460029514,0.008499902309934306,33.93099381199195,POINT (-45.8557642 -23.2066469)
2061113653,-23.2122203,-45.8564832,,4,0.015533980582524271,0.06258097605050174,0.008641572622279553,38.97995944847297,POINT (-45.8564832 -23.2122203)
2061113654,-23.2122506,-45.8558771,,4,0.015533980582524271,0.06487921535011709,0.09272180150692796,38.42670149199324,POINT (-45.8558771 -23.2122506)
2061113655,-23.2137145,-45.8559729,,4,0.015533980582524271,0.06427878650623288,0.0729852781008541,35.97483449909607,POINT (-45.8559729 -23.2137145)
2061113656,-23.2137419,-45.8553726,,4,0.015533980582524271,0.06251153593406054,0.0019205404681630616,21.765383743606545,POINT (-45.8553726 -23.2137419)
2061117199,-23.2111054,-45.8491996,,4,0.015533980582524271,0.06959932298711942,0.08081395180653571,34.39649234039869,POINT (-45.8491996 -23.2111054)
2061127780,-23.2036987,-45.8531043,,4,0.015533980582524271,0.04819686957805751,0.010770475926540707,28.041928350843783,POINT (-45.8531043 -23.2036987)
2061127781,-23.2048574,-45.8524548,,4,0.015533980582524271,0.04931729092122994,0.0064957970392694134,35.10863371505636,POINT (-45.8524548 -23.2048574)
2143249771,-23.2222912,-45.8561112,,4,0.007766990291262136,0.047833119618977835,0.028476445921952323,39.51053104585829,POINT (-45.8561112 -23.2222912)
2143249780,-23.222746,-45.8560427,,4,0.007766990291262136,0.04376994716515582,0.025663934116580408,37.58371587214287,POINT (-45.8560427 -23.222746)
3160449691,-23.2012844,-45.8629964,traffic_signals,4,0.007766990291262136,0.041305993316591856,0.0036511654263155905,25.778495275012183,POINT (-45.8629964 -23.2012844)
3160449692,-23.2012514,-45.8629228,traffic_signals,4,0.007766990291262136,0.04309656336261496,0.03887478622226081,35.80625935769729,POINT (-45.8629228 -23.2012514)
3160449693,-23.2011882,-45.8628435,traffic_signals,4,0.007766990291262136,0.04917380156737126,0.021953332577789527,35.77149932113002,POINT (-45.8628435 -23.2011882)
3160449694,-23.20071,-45.8635392,traffic_signals,4,0.007766990291262136,0.04308191587740378,0.0036473877073023306,25.245759450202307,POINT (-45.8635392 -23.20071)
3160449699,-23.2015212,-45.8625016,,3,0.005825242718446602,0.051360521470944595,0.026504038861335545,25.17560670059058,POINT (-45.8625016 -23.2015212)
3160449701,-23.2011355,-45.8628001,traffic_signals,3,0.005825242718446602,0.04915949854190082,0.00467939376386356,25.10483115419398,POINT (-45.8628001 -23.2011355)
3160449702,-23.2010268,-45.8629129,,3,0.005825242718446602,0.04686487364462197,0.004683171482876822,22.030842161776057,POINT (-45.8629129 -23.2010268)
