u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,ebc,maxspeed,bridge,junction
1437646822,2311497721,0,130758295,False,,,Rua Marechal Rondon,residential,False,35.205,"LINESTRING (-45.872785 -23.1875174, -45.8726903 -23.187213)",0.015618485775883375,,,
1437646822,2311497722,0,1008846321,False,,,Avenida Presidente Juscelino Kubitschek,secondary,False,37.511,"LINESTRING (-45.872785 -23.1875174, -45.8725347 -23.1872707)",0.005961284581916759,50,,
1437646822,1439300025,0,1008846321,False,,,Avenida Presidente Juscelino Kubitschek,secondary,True,107.445,"LINESTRING (-45.872785 -23.1875174, -45.8733768 -23.188316)",0.0011959396880859684,50,,
1437650652,1437658993,0,665146346,False,,,Rua Turmalina,tertiary,False,75.141,"LINESTRING (-45.8747648 -23.1926963, -45.8741053 -23.1923977)",0.011307818579026302,,,
1437650652,2061117165,0,130572201,False,,,Rua Sardônica,residential,False,137.174,"LINESTRING (-45.8747648 -23.1926963, -45.8747197 -23.1926022, -45.8742234 -23.1915675)",0.002704367484052456,,,
1437650652,2061127777,0,665146346,False,,,Rua Turmalina,tertiary,True,55.653999999999996,"LINESTRING (-45.8747648 -23.1926963, -45.8752117 -23.1929157, -45.8752451 -23.1929321)",0.005890974622413263,,,
1437650653,1437658996,0,665146346,False,,,Rua Turmalina,tertiary,False,114.78,"LINESTRING (-45.8739269 -23.19231, -45.8729236 -23.1918463)",0.01969700738986768,,,
1437650653,1437658993,0,665146346,False,,,Rua Turmalina,tertiary,True,20.678,"LINESTRING (-45.8739269 -23.19231, -45.8741053 -23.1923977)",0.003741362540380557,,,
1437650653,1437650703,0,130572200,False,,,Rua Granada,residential,False,64.319,"LINESTRING (-45.8739269 -23.19231, -45.873869 -23.1921892, -45.8736731 -23.1917807)",0.0023624292730884864,,,
1437650655,1437658996,0,665146346,False,,,Rua Turmalina,tertiary,True,88.196,"LINESTRING (-45.8721561 -23.1914838, -45.8729236 -23.1918463)",0.006104299616036102,,,
1437650655,1437650678,0,130572198,False,,,Praça Platina,residential,False,106.46,"LINESTRING (-45.8721561 -23.1914838, -45.8721114 -23.1913847, -45.8719446 -23.1910147, -45.8718456 -23.1907813, -45.8718063 -23.1906886, -45.8717669 -23.1905958)",0.0007690551929929124,,,
1437650655,1437650656,0,665146346,False,,,Rua Turmalina,tertiary,False,101.022,"LINESTRING (-45.8721561 -23.1914838, -45.8717181 -23.1912602, -45.8715262 -23.1911621, -45.8714074 -23.1911015, -45.8713624 -23.1910785, -45.8712921 -23.1910426)",0.03844024408973834,,,
1437650656,2061117167,0,973344609,True,,,Rua Ceci,secondary,False,127.722,"LINESTRING (-45.8712921 -23.1910426, -45.8704132 -23.1918591)",0.04304254901294609,,,
1437650656,1437650655,0,665146346,False,,,Rua Turmalina,tertiary,True,101.022,"LINESTRING (-45.8712921 -23.1910426, -45.8713624 -23.1910785, -45.8714074 -23.1911015, -45.8715262 -23.1911621, -45.8717181 -23.1912602, -45.8721561 -23.1914838)",0.0070509271695014565,,,
1437650668,1437646813,0,320807040,True,,,Rua Ceci,secondary,False,17.217,"LINESTRING (-45.8736688 -23.1888445, -45.8736081 -23.1889184, -45.8735531 -23.1889547)",0.007047215781155442,,,
1437650668,8234497506,0,320807041,True,,,Avenida Santos Dumont,secondary,False,44.736,"LINESTRING (-45.8736688 -23.1888445, -45.8734942 -23.1885178, -45.8734758 -23.1884834)",0.002297071384571895,,,
1437650673,1437650675,0,448345146,True,,,Rua Ceci,secondary,False,63.273,"LINESTRING (-45.8731551 -23.189311, -45.8727173 -23.1897133)",0.006898179453345113,,,
1437650673,2061117157,0,130572201,False,,,Rua Sardônica,residential,True,148.774,"LINESTRING (-45.8731551 -23.189311, -45.8731906 -23.1893856, -45.8737444 -23.1905344)",0.0023230045700759062,,,
