osmid,y,x,street_count,dc,cc,bc,vul,eff,highway,ref,geometry
598667181,-23.5540282,-46.6405185,3,0.0037230081906180195,0.04321769516421721,0.0075552303174579675,-1.6738881365382947e-05,0.07609631930206648,traffic_signals,,POINT (-46.6405185 -23.5540282)
598668807,-23.5531597,-46.6348984,3,0.0022338049143708115,0.04348036975048524,0.01591969671371953,0.00014013903861003336,0.07609631930206648,,,POINT (-46.6348984 -23.5531597)
598670833,-23.5546765,-46.6428795,3,0.0022338049143708115,0.039608713585235544,0.008894470146090624,0.0005185046658034693,0.07609631930206648,,,POINT (-46.6428795 -23.5546765)
599043055,-23.5437327,-46.6369058,1,0.0014892032762472078,0.037057283866203675,0.0,-1.656419473765272e-05,0.07609631930206648,,,POINT (-46.6369058 -23.5437327)
599043066,-23.5440992,-46.633451,1,0.0014892032762472078,0.036053182198537655,0.0,-9.026637632903395e-06,0.07609631930206648,,,POINT (-46.633451 -23.5440992)
599043071,-23.5433317,-46.6377826,3,0.0029784065524944155,0.03855762156941987,0.0021147722232887573,0.002119055809577181,0.07609631930206648,,,POINT (-46.6377826 -23.5433317)
599043086,-23.5426999,-46.6304446,4,0.0037230081906180195,0.04556048184621707,0.02567423183767066,0.0009121842497379628,0.07609631930206648,,,POINT (-46.6304446 -23.5426999)
599043087,-23.542627,-46.6309096,3,0.0029784065524944155,0.04575589532793078,0.012116498063687014,0.0006487736935406258,0.07609631930206648,,,POINT (-46.6309096 -23.542627)
617798750,-23.547233,-46.6370328,3,0.0029784065524944155,0.050993582201395125,0.05469750413453259,0.006088153302111251,0.07609631930206648,,,POINT (-46.6370328 -23.547233)
617887905,-23.5482794,-46.6426447,4,0.0029784065524944155,0.04522165403343146,0.024069020964248566,0.0006695865565257468,0.07609631930206648,,,POINT (-46.6426447 -23.5482794)
627949654,-23.5391225,-46.6373843,4,0.0037230081906180195,0.04046536041528822,0.024264177128830423,0.00027159613241309577,0.07609631930206648,traffic_signals,,POINT (-46.6373843 -23.5391225)
627949655,-23.5397854,-46.6368191,4,0.0037230081906180195,0.0399969065947863,0.009843070265733186,0.00026133691986543575,0.07609631930206648,traffic_signals,,POINT (-46.6368191 -23.5397854)
627949664,-23.5387677,-46.6360409,4,0.0029784065524944155,0.04315788146921723,0.038581936023605615,0.00038630177854421225,0.07609631930206648,traffic_signals,,POINT (-46.6360409 -23.5387677)
627949665,-23.5387383,-46.6361693,4,0.0029784065524944155,0.04289907728389263,0.036528888819006504,0.0002695802303994014,0.07609631930206648,traffic_signals,,POINT (-46.6361693 -23.5387383)
627949673,-23.5393724,-46.6337149,4,0.0029784065524944155,0.04603300434994028,0.021581957800075102,0.0016583235084111894,0.07609631930206648,traffic_signals,,POINT (-46.6337149 -23.5393724)
627949674,-23.5392538,-46.6337054,4,0.0029784065524944155,0.0459703625749791,0.04993175793249908,0.001902460523677379,0.07609631930206648,traffic_signals,,POINT (-46.6337054 -23.5392538)
627949679,-23.5385899,-46.6339596,3,0.0029784065524944155,0.03980837780429042,0.03325405736393013,0.00023132286141852888,0.07609631930206648,,,POINT (-46.6339596 -23.5385899)
627981911,-23.5429216,-46.6364031,4,0.0029784065524944155,0.04006806608859621,0.04410131798127291,0.003995081890182502,0.07609631930206648,traffic_signals,,POINT (-46.6364031 -23.5429216)
627981921,-23.5419782,-46.6360078,3,0.0022338049143708115,0.04084041715095279,0.009186436764220674,0.00033976892441098326,0.07609631930206648,,,POINT (-46.6360078 -23.5419782)
631977641,-23.5548514,-46.6293295,4,0.0037230081906180195,0.03818474495026758,0.010809213451253734,0.005067097680560814,0.07609631930206648,,,POINT (-46.6293295 -23.5548514)
631977642,-23.555125,-46.6287025,3,0.0022338049143708115,0.03854295762434863,0.019723457350342127,0.0019004551429579674,0.07609631930206648,,,POINT (-46.6287025 -23.555125)
661211978,-23.553132,-46.6332863,3,0.0029784065524944155,0.03939316992488573,0.021677818614826472,0.00079714275684999,0.07609631930206648,,,POINT (-46.6332863 -23.553132)
661211979,-23.5493739,-46.6291378,4,0.0029784065524944155,0.04813560031351958,0.060448971108497736,0.001710448749394665,0.07609631930206648,traffic_signals,,POINT (-46.6291378 -23.5493739)
661211990,-23.5490647,-46.6293357,4,0.0029784065524944155,0.04625360141182338,0.07404610049477696,0.0025526735428430653,0.07609631930206648,traffic_signals,,POINT (-46.6293357 -23.5490647)
661211993,-23.5478212,-46.6259975,3,0.0022338049143708115,0.03605425104269284,0.0005916871489643263,2.115732299707597e-05,0.07609631930206648,,,POINT (-46.6259975 -23.5478212)
661212028,-23.5448692,-46.6266973,3,0.0022338049143708115,0.041180615668463774,0.027542345176368742,0.0009718682303340584,0.07609631930206648,traffic_signals,,POINT (-46.6266973 -23.5448692)
661212039,-23.5428084,-46.6270579,4,0.0029784065524944155,0.037545797966134796,0.04326118516197503,0.0012240646378075528,0.07609631930206648,traffic_signals,,POINT (-46.6270579 -23.5428084)
661212047,-23.5427226,-46.6269013,4,0.0029784065524944155,0.03615715599586954,0.006402364462122133,0.0008473756625025793,0.07609631930206648,traffic_signals,,POINT (-46.6269013 -23.5427226)
661212053,-23.5412943,-46.6276464,3,0.0029784065524944155,0.03252422822852675,0.002224649976197161,3.5663053334820786e-05,0.07609631930206648,,,POINT (-46.6276464 -23.5412943)
