u,v,key,osmid,oneway,lanes,name,highway,reversed,length,ebc,vulnerability,geometry,maxspeed,bridge,ref,junction
1453950293,4453703042,0,132214755,False,,Rua Raul Franco Martins,residential,False,85.06,0.021368590316240846,0.997260873300976,"LINESTRING (-45.8639126 -23.198817, -45.8639296 -23.1995818)",,,,
1453950293,1453961350,0,132216058,False,,Rua Raul Franco Martins,residential,True,28.997,0.03716055606130646,0.9912863604058632,"LINESTRING (-45.8639126 -23.198817, -45.8640501 -23.1985889)",,,,
1453950293,1453969481,0,132113592,False,,Rua Avião Brasília,residential,False,166.38,0.04980698985567666,0.9919941515318094,"LINESTRING (-45.8639126 -23.198817, -45.8637972 -23.199014, -45.8633106 -23.1995452, -45.8630825 -23.1999738, -45.863017 -23.2000549)",,,,
1453950300,1453958821,0,132112834,False,,Rua Edésio José de Melo,residential,False,59.782,0.011168880154050778,0.9988425398827884,"LINESTRING (-45.8639127 -23.1973561, -45.8633836 -23.1971269)",,,,
1453950300,1453957515,0,132112834,False,,Rua Edésio José de Melo,residential,True,131.326,0.008393300265731927,0.9998872619525652,"LINESTRING (-45.8639127 -23.1973561, -45.8648213 -23.196521)",,,,
1453950300,1453957518,0,132214760,False,,Rua Teodomiro Costa,residential,False,117.254,0.00856482781308581,0.9997766850178615,"LINESTRING (-45.8639127 -23.1973561, -45.8634198 -23.1983083)",,,,
1453950300,1453950123,0,885743516,False,,Rua Teodomiro Costa,residential,True,174.952,0.00481513386328466,,"LINESTRING (-45.8639127 -23.1973561, -45.864265 -23.1958164)",,,,
1453957511,1453957515,0,132110338,False,,Rua Raul Franco Martins,residential,False,66.93,0.01618741332516569,0.9994485626821275,"LINESTRING (-45.8649342 -23.1959281, -45.8648213 -23.196521)",,,,
1453957511,1453950289,0,132110338,False,,Rua Raul Franco Martins,residential,True,171.431,0.004397660122155369,,"LINESTRING (-45.8649342 -23.1959281, -45.8649731 -23.1943868)",,,,
1453957511,1453950123,0,132112831,False,,Praça Benedito Ugolino Silva Guerra,residential,False,69.515,0.0024699763573267247,,"LINESTRING (-45.8649342 -23.1959281, -45.864265 -23.1958164)",,,,
1453957515,1453957511,0,132110338,False,,Rua Raul Franco Martins,residential,True,66.93,0.008269897044240472,,"LINESTRING (-45.8648213 -23.196521, -45.8649342 -23.1959281)",,,,
1453957515,1453950300,0,132112834,False,,Rua Edésio José de Melo,residential,False,131.326,0.008685224888994767,,"LINESTRING (-45.8648213 -23.196521, -45.8639127 -23.1973561)",,,,
1453957515,1453961350,0,132216058,False,,Rua Raul Franco Martins,residential,False,244.888,0.02595667038180885,0.9991644949698405,"LINESTRING (-45.8648213 -23.196521, -45.8645638 -23.1976239, -45.8640501 -23.1985889)",,,,
1453957518,1453958828,0,132113017,False,,Rua Brasílio Cursino,residential,False,97.276,0.007504048370584009,0.9982923932088216,"LINESTRING (-45.8634198 -23.1983083, -45.8625623 -23.1979287)",,,,
1453957518,1453961350,0,132113017,False,,Rua Brasílio Cursino,residential,True,71.578,0.017468392931587497,0.9985375776605254,"LINESTRING (-45.8634198 -23.1983083, -45.8640501 -23.1985889)",,,,
1453957518,1453950300,0,132214760,False,,Rua Teodomiro Costa,residential,True,117.254,0.008668308230127061,,"LINESTRING (-45.8634198 -23.1983083, -45.8639127 -23.1973561)",,,,
1453958821,1453950300,0,132112834,False,,Rua Edésio José de Melo,residential,True,59.782,0.012560867358080149,,"LINESTRING (-45.8633836 -23.1971269, -45.8639127 -23.1973561)",,,,
1453958821,1453960064,0,132112940,False,,Rua José Martins Xavier,residential,True,23.356,0.007435658558581546,0.9987846790667803,"LINESTRING (-45.8633836 -23.1971269, -45.863447 -23.1969251)",,,,
1453958821,1453960082,0,132214757,False,,Rua José Martins Xavier,residential,False,31.711,0.002376244643530705,0.9995540306132445,"LINESTRING (-45.8633836 -23.1971269, -45.8631433 -23.1973073)",,,,
1453958828,1453957518,0,132113017,False,,Rua Brasílio Cursino,residential,True,97.276,0.007637056132678789,,"LINESTRING (-45.8625623 -23.1979287, -45.8634198 -23.1983083)",,,,
1453958828,1453960087,0,132214757,False,,Rua José Martins Xavier,residential,True,39.286,0.004274143461207977,0.9993259704500014,"LINESTRING (-45.8625623 -23.1979287, -45.8626554 -23.1978709, -45.8628366 -23.1976844)",,,,
1453958828,1454889053,0,132214758,False,,Rua das Cidreiras,residential,False,156.253,0.0016616044309451493,0.9973280428557243,"LINESTRING (-45.8625623 -23.1979287, -45.8623617 -23.1979408, -45.8622149 -23.1979044, -45.8611533 -23.1974399)",,,,
1453960044,1453960056,0,132112940,False,,Rua José Martins Xavier,residential,False,50.521,0.002501042225001488,0.9993137736016555,"LINESTRING (-45.863782 -23.1960891, -45.8636128 -23.196516)",,,,
1453960044,1453950122,0,132112940,False,,Rua José Martins Xavier,residential,True,143.519,0.0011756298016794712,,"LINESTRING (-45.863782 -23.1960891, -45.8638344 -23.1959486, -45.8642372 -23.1948681)",,,,
1453960044,1453960046,0,132112966,False,,Rua das Macieiras,residential,False,170.725,0.0016616044309451493,0.9975330736049215,"LINESTRING (-45.863782 -23.1960891, -45.8623625 -23.1955328, -45.8622353 -23.1955296)",,,,
1453960046,1453960044,0,132112966,False,,Rua das Macieiras,residential,True,170.725,0.0016764933595378477,,"LINESTRING (-45.8622353 -23.1955296, -45.8623625 -23.1955328, -45.863782 -23.1960891)",,,,
1453960056,1453960064,0,132112940,False,,Rua José Martins Xavier,residential,False,48.544,0.0056642447342822545,0.9993100391069122,"LINESTRING (-45.8636128 -23.196516, -45.863447 -23.1969251)",,,,
1453960056,1453960044,0,132112940,False,,Rua José Martins Xavier,residential,True,50.521,0.0011398254733970365,,"LINESTRING (-45.8636128 -23.196516, -45.863782 -23.1960891)",,,,
