u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,bridge,junction
1437650697,2061117160,0,130572203,False,,,Rua Cristal,residential,,True,62.221,"LINESTRING (-45.8726433 -23.1909822, -45.8727148 -23.1909524, -45.873122 -23.1907799, -45.8731977 -23.1907512)",0.005104930019492244,0.9998031407455544,,
1437650703,2061117160,0,130572200,False,,,Rua Granada,residential,,False,124.361,"LINESTRING (-45.8736731 -23.1917807, -45.8731977 -23.1907512)",0.0004018828591006965,0.9999501065799855,,
1437650703,1437650653,0,130572200,False,,,Rua Granada,residential,,True,64.319,"LINESTRING (-45.8736731 -23.1917807, -45.873869 -23.1921892, -45.8739269 -23.19231)",0.0056999074490260825,,,
1437650703,2061117165,0,130572202,False,,,Rua Jaspe,residential,,True,61.037000000000006,"LINESTRING (-45.8736731 -23.1917807, -45.8737488 -23.1917514, -45.8741512 -23.1915955, -45.8742234 -23.1915675)",0.0019883097318331325,0.9998050236934637,,
1437650711,2061117165,0,130572202,False,,,Rua Jaspe,residential,,False,67.80799999999999,"LINESTRING (-45.8748266 -23.1913137, -45.8747549 -23.1913416, -45.874462 -23.1914664, -45.8743017 -23.1915343, -45.8742234 -23.1915675)",0.0046457564708219,0.9997588211810154,,
1437650711,2905769457,0,130700215,True,3,,Avenida Nair Toledo de Mira,secondary,,False,47.791,"LINESTRING (-45.8748266 -23.1913137, -45.8747448 -23.191129, -45.8746457 -23.1909174)",0.0018071866771808256,0.9998947332108986,,
1437650725,2905769444,0,130700215,True,3,,Avenida Nair Toledo de Mira,secondary,,False,73.821,"LINESTRING (-45.8743428 -23.1902793, -45.874053 -23.1896712)",0.005864385910304108,0.9998356346090589,,
1437650725,2061117157,0,130572203,False,,,Rua Cristal,residential,,False,67.42099999999999,"LINESTRING (-45.8743428 -23.1902793, -45.8743023 -23.1902969, -45.8742617 -23.1903144, -45.874061 -23.1904002, -45.8740101 -23.1904219, -45.8738239 -23.1905007, -45.8737444 -23.1905344)",0.010472198535628498,0.9997929926456329,,
1437658976,1437658984,0,129005031,True,2,,Avenida Deputado Benedito Matarazzo,secondary,,False,27.033,"LINESTRING (-45.8728885 -23.1954235, -45.8731253 -23.1955318)",0.0004878160849121625,0.9998948505217252,,
1437658976,1437659007,0,218648967,False,,,Avenida Deputado Benedito Matarazzo,secondary,,True,116.523,"LINESTRING (-45.8728885 -23.1954235, -45.8718961 -23.1949077)",0.0011445291788468744,0.9995322361511291,,
1437658976,1437658980,0,884654249,False,,,Rua Genésia Berardineli Tarantino,tertiary,,True,30.738,"LINESTRING (-45.8728885 -23.1954235, -45.8730872 -23.195216)",0.003459027101433654,0.999801982667461,,
1437658977,2061117173,0,130573170,False,,,Rua Água Marinha,tertiary,,False,140.274,"LINESTRING (-45.8744457 -23.1937843, -45.8732234 -23.1932106)",0.023676305140628243,0.9997500338333171,,
1437658977,1437658978,0,665146343,True,,,Rua Genésia Berardineli Tarantino,tertiary,,False,87.335,"LINESTRING (-45.8744457 -23.1937843, -45.8738864 -23.1943781)",0.0018508204085448774,0.9996041451404848,,
