osmid,y,x,highway,street_count,dc,cc,nbc,com,ref,geometry
260686447,-23.5294831,-46.6565017,traffic_signals,4,0.0011232799775344005,0.026351309109779564,0.005645200386043371,0.011073410511106354,,POINT (-46.6565017 -23.5294831)
260686448,-23.5301531,-46.6556539,,3,0.0008424599831508004,0.025660572876176815,0.004271935768088444,0.008728843166357273,,POINT (-46.6556539 -23.5301531)
260686449,-23.5308638,-46.6547634,,4,0.0016849199663016008,0.028274882198675955,0.008310650249905916,0.011910511933648687,,POINT (-46.6547634 -23.5308638)
260686510,-23.5295005,-46.6600046,,3,0.0016849199663016008,0.02494317080796393,0.0006384620434631755,0.006840683029550083,,POINT (-46.6600046 -23.5295005)
260686511,-23.5300641,-46.6593899,,4,0.002246559955068801,0.025595333804432286,0.0009919163018081106,0.010498972085120463,,POINT (-46.6593899 -23.5300641)
260686512,-23.5305363,-46.6588501,,3,0.0016849199663016008,0.026234289696580437,0.0012200876906768591,0.007796548570440299,,POINT (-46.6588501 -23.5305363)
260686514,-23.5311171,-46.6582298,,3,0.0011232799775344005,0.026703476037354564,0.001652169608466208,0.008290953053579554,,POINT (-46.6582298 -23.5311171)
260686572,-23.5302851,-46.6624078,,4,0.0008424599831508004,0.0002808199943836001,0.0002751404888792127,0.0019855153712292775,,POINT (-46.6624078 -23.5302851)
260687187,-23.529509,-46.6616659,,3,0.0005616399887672002,0.0003744266591781335,0.000550123213716637,0.003203907462329293,,POINT (-46.6616659 -23.529509)
279225578,-23.5511565,-46.6278789,,3,0.0008424599831508004,0.035605286679544365,0.027073433720962287,0.005707288125083156,,POINT (-46.6278789 -23.5511565)
279225582,-23.5506522,-46.6282572,,3,0.0008424599831508004,0.035485726108163924,0.00210919948472841,0.005656847587234949,,POINT (-46.6282572 -23.5506522)
285488804,-23.5491274,-46.6387043,,3,0.0008424599831508004,0.034657702942098474,0.014347129627522288,0.0064180154612460275,,POINT (-46.6387043 -23.5491274)
293820332,-23.5219355,-46.6478611,,3,0.0008424599831508004,0.02717737225525773,0.003801954731982264,0.009629505279396348,,POINT (-46.6478611 -23.5219355)
293820334,-23.5209877,-46.6457635,traffic_signals,4,0.0014040999719180005,0.027493130331214238,0.0043465520025144965,0.011264104875909488,,POINT (-46.6457635 -23.5209877)
293820335,-23.5205509,-46.6447042,,3,0.0008424599831508004,0.026741669728669867,0.001094325634351803,0.006930439527826858,,POINT (-46.6447042 -23.5205509)
293820343,-23.5212478,-46.6467018,traffic_signals,4,0.0008424599831508004,0.026031389835938577,0.0034217571120383067,0.007722561617632682,,POINT (-46.6467018 -23.5212478)
293820344,-23.5218149,-46.6479294,,3,0.0011232799775344005,0.02608286957760599,0.0038766310071229283,0.006592772727340259,,POINT (-46.6479294 -23.5218149)
